geometry,APN,address,city,incorporated
Geocortex.Gis.Geometries.Polygon,002024170,"129 WESTDALE AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024180,"125 WESTDALE AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024220,"109 WESTDALE AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024230,"105 WESTDALE AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024270,"110 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024280,"114 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024310,"126 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024320,"130 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024330,"134 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024380,"154 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024390,"158 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024400,"162 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024410,"166 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024420,"170 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024450,"182 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024460,"186 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002024470,"190 WESTLAWN AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002031030,"194 WILSHIRE AVE, DALY CITY",DALY CITY,Incorporated
Geocortex.Gis.Geometries.Polygon,002031040,"190 WILSHIRE AVE, DALY CITY",DALY CITY,Incorporated
